total cost: 2181.33999999998
2 5933 0.28
3 8744 0.11
4 8200 0.04
5 6002 0.38
6 2542 0.09
7 1500 0.1
8 865 0.17
9 9923 0.6
10 9801 0.03
11 6031 0.16
12 3176 0.14
13 512 1.08
14 8153 0.17
15 7140 0.24
16 7407 0.42
17 193 0.06
18 9023 0.22
19 9193 0.61
20 9865 0.03
21 7615 0.08
22 4722 0.38
23 2987 0.22
24 9960 0.36
25 8841 0.07
26 1535 0.12
27 2592 0.06
28 962 0.36
29 8129 0.19
30 3217 0.4
31 4754 0.2
32 9524 0.19
33 7545 0.18
34 9660 0.04
35 2907 0.12
36 9253 0.05
37 1907 0.14
38 8433 0.16
39 2716 0.15
40 7287 0.42
41 6462 0.2
42 6576 0.39
43 5554 0.39
44 4598 0.34
45 1618 0.16
46 5045 0.14
47 5629 0.58
48 3253 0.24
49 9953 0.04
50 5369 0.31
51 3666 1.16
52 5212 0.24
53 7605 0.04
54 9421 0.13
55 4144 0.06
56 5612 0.23
57 4803 0.35
58 3997 0.07
59 8424 0.11
60 8955 0.02
61 4552 0.14
62 8466 0.54
63 5741 0.19
64 4883 0.3
65 3764 0.43
66 5405 0.01
67 3752 0.01
68 6314 1.02
69 432 0.02
70 9085 0.11
71 2372 0.03
72 6060 0.15
73 9764 0.21
74 6702 0.24
75 2879 0.41
76 8011 0.62
77 2309 0.16
78 7303 0.39
79 887 0.14
80 1424 0.08
81 7407 0.15
82 9138 0.02
83 6040 0.21
84 1054 0.06
85 450 0.11
86 5764 0.17
87 7676 0.14
88 611 0.13
89 5534 0.57
90 1590 0.02
91 7535 0.24
92 8872 0
93 3916 0.6
94 8903 0.35
95 3580 0.21
96 880 0.09
97 1922 0.28
98 636 0.16
99 5859 0.17
100 4555 0.21
101 944 0.39
102 3380 0.04
103 7905 0.28
104 5936 0.28
105 5377 0.32
106 2759 0.11
107 8587 0.11
108 2256 0.06
109 251 0.07
110 3570 0.05
111 2743 0.11
112 4864 0.05
113 4268 0.08
114 5350 0.21
115 3013 0.44
116 6509 0.51
117 4801 0.03
118 8269 0.32
119 5502 0.09
120 259 0.36
121 332 0.25
122 4239 0.54
123 7439 0.22
124 7236 0.31
125 5198 0.06
126 960 0.25
127 607 0.42
128 9087 0.37
129 2346 0.51
130 4379 0.03
131 1683 0.16
132 8959 0.01
133 9062 0.21
134 396 0.06
135 7055 0.18
136 6982 0.16
137 8232 0.06
138 2121 0.18
139 3133 0.04
140 5734 0.68
141 2854 0.23
142 8378 0.59
143 5578 0.03
144 7157 0.13
145 8896 0.13
146 5392 0.12
147 9693 0.58
148 9664 0.15
149 521 0.22
150 1783 0.4
151 1960 0.07
152 3538 0.33
153 2638 0.35
154 2277 0
155 7754 0.44
156 6258 0.16
157 5378 0.11
158 6372 0.24
159 6194 0.13
160 6780 0.03
161 1842 0.38
162 6246 0.37
163 3569 1.52
164 4434 0.31
165 7594 0.02
166 3027 0
167 8302 0.26
168 5681 0.73
169 3252 0.47
170 2138 0.46
171 3893 0.16
172 6492 0.2
173 7682 1.16
174 4835 0.43
175 1281 0.29
176 9537 0.19
177 7181 0.13
178 2264 0.22
179 3037 0.02
180 9494 0.05
181 5011 1.04
182 6651 0.36
183 2869 0.41
184 7499 0.42
185 6551 0.21
186 1932 0.02
187 1726 0.18
188 6396 0.06
189 5395 0.68
190 3739 0.1
191 2837 0.07
192 9841 0.19
193 276 0.05
194 151 0.15
195 651 0.08
196 5993 0.14
197 9430 0.18
198 5560 0.01
199 7010 0.07
200 814 0.18
201 6681 0.15
202 6885 0.16
203 2441 0.36
204 9016 0.24
205 6098 0.03
206 9844 0.35
207 5904 0.24
208 3315 0.1
209 3959 0.02
210 604 0.09
211 935 0.31
212 9005 0.25
213 8356 0.1
214 582 0.49
215 4688 0.01
216 2490 0.41
217 1480 0.29
218 230 0.16
219 3489 0.21
220 1957 0.15
221 3966 0.05
222 3432 0.01
223 5982 0.15
224 5424 0.05
225 5531 0.06
226 2349 0.07
227 3450 0.04
228 8660 0.7
229 126 0.17
230 5220 0.04
231 3909 0.13
232 1402 0.4
233 4123 0.27
234 3525 0
235 5209 0.16
236 580 0.28
237 4804 0.02
238 6720 0.4
239 3657 0.43
240 7436 0.21
241 5674 0.16
242 2336 0.3
243 7253 0.25
244 5190 0.67
245 8879 0.18
246 5734 0.04
247 3461 0.58
248 6764 0.16
249 5840 0.19
250 2992 0.25
251 7370 0.34
252 2757 0.55
253 5561 0.11
254 8745 0.22
255 6137 0.36
256 6048 0.43
257 909 0.24
258 7293 0.03
259 9499 0.01
260 5478 0.14
261 4684 0.31
262 502 0.23
263 2065 0.02
264 9635 0.2
265 1581 0.19
266 7581 0.14
267 5966 0.02
268 7720 0.08
269 8763 0.13
270 5721 0.36
271 937 0.22
272 1834 0.36
273 5951 0.11
274 4389 0.62
275 9897 0.26
276 4548 0.1
277 4928 0.16
278 9563 0.27
279 8112 0.37
280 7201 0.16
281 7506 0.22
282 3084 0.13
283 8686 0.54
284 6625 0.57
285 643 0.67
286 1638 0.07
287 6748 0.21
288 6577 0.2
289 5715 0.04
290 1435 0.16
291 5009 0.07
292 6602 0.36
293 8252 0.08
294 67 0.05
295 8342 0.25
296 6959 0.54
297 6496 0.5
298 1484 0.35
299 7568 0.24
300 1631 0.03
301 7228 0.28
302 32 0.41
303 8277 0.45
304 8356 0.19
305 622 0.37
306 1905 0.09
307 1434 0.12
308 7899 0.01
309 3198 0.09
310 6834 0.11
311 2732 0.13
312 7121 0.19
313 808 0.18
314 7320 0.44
315 1703 0.07
316 5617 0.21
317 2457 0.06
318 4824 0.23
319 1207 0.37
320 6999 0.31
321 9271 0.08
322 7540 0
323 9557 0.44
324 1227 0.09
325 4288 0.16
326 7909 0.21
327 8851 0
328 8858 0.24
329 5224 0.19
330 4924 0.11
331 6387 0.09
332 7698 0.34
333 8076 0.32
334 7186 0.23
335 6555 0.25
336 5149 0.29
337 6447 0.02
338 1111 0.19
339 7529 0.15
340 7280 0.33
341 1238 0.03
342 9546 0.26
343 8266 0.18
344 1182 0.33
345 3110 0.3
346 4750 0.37
347 7815 0.21
348 8284 0.01
349 2234 0.01
350 7014 0.06
351 9019 0.18
352 6044 0.01
353 2973 0.25
354 1799 0.46
355 1381 0.25
356 2223 0.37
357 6534 0.32
358 2912 0.24
359 7392 0.17
360 6282 0.38
361 7845 0.05
362 9211 0.13
363 5368 0.29
364 8137 0.15
365 6855 0.2
366 2308 0
367 9395 0.13
368 4714 0.19
369 6290 0.11
370 8622 0.14
371 5265 0.27
372 4422 0.19
373 4785 0.43
374 4250 0.08
375 2015 0.2
376 960 0.07
377 7070 0.1
378 7759 0.11
379 2511 0.19
380 6728 0.52
381 8227 0.49
382 9970 0.32
383 9249 0.14
384 1767 0.08
385 4133 0.13
386 257 0.14
387 5729 0.59
388 4881 0.1
389 9995 0.19
390 2643 0.47
391 7166 0.23
392 8124 0.21
393 5449 0.41
394 8811 0.6
395 3688 0.1
396 318 0.23
397 8762 0.02
398 6800 0.71
399 6830 0.15
400 7421 0.19
401 1561 0.67
402 5133 0.2
403 6838 0.39
404 8557 0.37
405 1382 0.13
406 8235 0.27
407 1924 0.47
408 4610 0.23
409 175 0.22
410 3701 0.01
411 6438 0.42
412 9682 0.1
413 4949 0.24
414 2324 0.01
415 2320 0.1
416 6614 0.48
