total cost: 219.74
2 186 0.27
3 787 0.39
4 905 0.32
5 153 0.5
6 142 0.02
7 235 0.22
8 947 0.26
9 901 0.04
10 820 0.25
11 279 0.19
12 636 0.34
13 783 0.05
14 175 0.11
15 107 0.1
16 843 0.26
17 423 0.41
18 674 0.35
19 864 0.24
20 168 0.18
21 814 0.13
22 553 0.27
23 676 0.27
24 378 0.45
25 158 0.18
26 900 0.53
27 782 0.29
28 221 0.26
29 712 0.47
30 279 0.08
31 208 0.03
32 302 0.19
33 548 0.13
34 389 0.24
35 797 0.16
36 683 0.17
37 760 0.1
38 344 0.2
39 68 0.23
40 333 0.26
41 635 0.01
42 18 0.14
43 251 0.23
44 756 0.3
45 421 0.01
46 350 0.08
47 320 0.42
48 467 0.39
49 876 0.37
50 198 0.05
51 676 0.23
52 491 0.01
53 739 0.08
54 97 0.36
55 732 0.01
56 632 0.08
57 232 0.01
58 960 0.18
59 225 0.26
60 905 0.12
61 31 0.35
62 964 0.3
63 820 0.25
64 286 0.1
65 551 0.11
66 856 0.06
67 740 0.33
68 857 0.25
69 288 0.43
70 739 0.21
71 742 0.04
72 527 0.21
73 746 0.19
74 513 0.6
75 690 0.12
76 690 0.09
77 124 0.2
78 427 0
79 262 0.23
80 833 0.43
81 542 0.06
82 284 0.1
83 489 0.15
84 794 0.75
85 449 0.26
86 852 0.14
87 232 0.07
88 861 0
89 968 0.36
90 237 0.19
91 420 0.1
92 350 0.04
93 857 0.39
94 334 0.1
95 140 0.29
96 39 0.23
97 616 0.18
98 855 0.05
99 818 0.02
100 957 0.11
101 767 0.45
102 358 0.39
103 485 0.24
104 487 0.11
105 542 0.3
106 887 0.11
107 509 0.12
108 492 0.5
109 899 0.06
110 631 0.11
111 796 1.3
112 686 0.02
113 297 0.02
114 431 0.18
115 21 0.06
116 49 0.4
117 580 0.06
118 746 0.16
119 323 0.46
120 1 0.2
121 469 0.2
122 924 0.16
123 651 0.06
124 336 0.19
125 10 0.09
126 986 0.04
127 462 0.4
128 942 0.37
129 543 0.34
130 790 0.04
131 911 0.21
132 318 0.23
133 495 0.16
134 585 0.11
135 280 0.09
136 534 0.01
137 70 0.03
138 983 0.09
139 776 0.03
140 742 0.2
141 121 0.25
142 338 0.34
143 623 0.41
144 359 0.06
145 794 0.4
146 66 0.04
147 980 0.04
148 481 0.09
149 309 0.48
150 828 0.04
151 763 0.04
152 220 0.27
153 161 0.21
154 31 0.48
155 228 0.53
156 882 0.71
157 181 0.03
158 843 0.06
159 736 0.06
160 212 0.01
161 492 0.08
162 522 0.23
163 537 0.46
164 652 0.05
165 199 0.04
166 848 0.13
167 134 0.42
168 856 0.09
169 240 0.22
170 232 0.41
171 569 0.73
172 33 0.14
173 781 0.19
174 769 0.16
175 333 0.05
176 857 0.33
177 482 0.11
178 317 0.24
179 23 0.22
180 176 0.54
181 249 0.19
182 951 0.08
183 900 0.07
184 197 0.04
185 103 0.04
186 211 0.14
187 86 0.15
188 995 0.08
189 776 0.22
190 244 0.09
191 218 0.22
192 727 0.05
193 457 0.23
194 961 0.24
195 278 0.22
196 925 0.27
197 246 0.39
198 939 0.03
199 620 0.01
200 349 0.08
201 556 0.09
202 695 0.12
203 660 0.6
204 173 0.07
205 938 0.35
206 894 0.19
207 619 0.03
208 776 0.09
209 222 0.06
210 847 0.36
211 645 0.05
212 73 0.05
213 598 0.15
214 114 0.32
215 875 0.13
216 285 0.06
217 66 0.07
218 224 0.17
219 707 0.58
220 482 0.24
221 440 0.26
222 272 0.18
223 228 0.25
224 982 0.01
225 858 0.02
226 825 0
227 54 0.1
228 214 0.23
229 825 0.09
230 632 0.09
231 676 0.18
232 580 0.07
233 652 0.07
234 788 0.01
235 408 0.06
236 820 0.24
237 341 0.11
238 288 0.06
239 589 0.12
240 687 0.14
241 335 0.52
242 188 0.3
243 484 0.14
244 499 0.28
245 897 0.02
246 163 0.18
247 165 0.2
248 607 0.02
249 166 0.26
250 759 0.24
251 533 0.4
252 925 0.49
253 348 0.28
254 732 0.45
255 698 0.01
256 636 0.03
257 730 0.69
258 166 0.21
259 896 0
260 807 0.1
261 933 0.11
262 152 0.12
263 948 0.13
264 388 1.06
265 104 0.16
266 502 0.05
267 850 0.19
268 306 0.03
269 476 0.37
270 897 0.38
271 976 0
272 999 0.02
273 405 0.32
274 649 0.21
275 288 0.2
276 852 0.03
277 542 0.17
278 327 0.17
279 83 0.15
280 130 0.43
281 326 0.12
282 565 0.25
283 375 0.52
284 297 0.4
285 709 0.11
286 603 0
287 550 0.25
288 426 0.33
289 923 0.07
290 546 0.22
291 91 0.28
292 834 0.49
293 445 0.16
294 633 0.24
295 15 0.21
296 909 0.2
297 371 0.33
298 69 0.69
299 51 0.2
300 897 0.4
301 977 0.55
302 352 0.15
303 198 0.23
304 904 0.19
305 873 0.04
306 992 0.16
307 215 0.13
308 434 0.38
309 34 0.13
310 81 0.05
311 484 0.39
312 848 0.08
313 412 0.12
314 200 0.18
315 658 0.03
316 436 0.24
317 787 0.11
318 515 0.04
319 934 0.48
320 478 0.22
321 526 0.33
322 194 0.24
323 754 0.12
324 771 0.05
325 195 0.17
326 645 0.01
327 940 0.04
328 935 0.99
329 664 0.7
330 749 0.3
331 945 0.48
332 377 0.28
333 761 0.13
334 345 0.04
335 90 0.5
336 558 0.29
337 194 0.27
338 683 0.05
339 655 0.58
340 927 0.03
