total cost: 22105.7000000009
357 65509 0.11
358 58654 0.42
359 42984 0.26
360 14602 0.07
361 27555 0.2
362 42120 0.64
363 56971 0.2
364 40936 0.16
365 34133 0.2
366 77157 0.47
367 66066 0.02
368 16933 0.12
369 9474 0.22
370 77258 0.14
371 32850 0.18
372 67164 0.11
373 88965 0.21
374 18482 0.02
375 27311 0.2
376 50758 0.09
377 93130 0.03
378 63321 0.18
379 50462 0.08
380 95946 0.17
381 90547 0.28
382 51380 0.29
383 5851 0.11
384 47981 0.42
385 55830 0.59
386 44316 0.59
387 82564 0.39
388 41143 0.15
389 13091 0.29
390 53117 0.08
391 129 0.22
392 55107 0.26
393 75975 0.52
394 86635 0.09
395 56169 0.37
396 23141 0.15
397 88506 0.08
398 53179 0.21
399 43679 0.53
400 86043 0.26
401 75373 0.02
402 39544 0.15
403 84955 0.12
404 87305 0.02
405 74766 0.02
406 76299 0.22
407 89391 0.24
408 59112 0.08
409 28940 0.21
410 52236 0.18
411 65042 0.24
412 55588 0.28
413 42421 0.21
414 40211 0.46
415 91877 0.24
416 21872 0.29
417 36406 0.02
418 94358 0.4
419 89085 0.23
420 89764 0.08
421 18094 0
422 52079 0.19
423 38585 0.2
424 98430 0.18
425 1719 0.06
426 5975 0.3
427 29747 0.04
428 91735 0.33
429 82078 0.23
430 60449 0.34
431 26259 0.03
432 15994 0.01
433 83041 0.18
434 70513 0.15
435 73713 0.12
436 29057 0.12
437 1687 0.33
438 34670 0.01
439 42894 0.49
440 61334 0.08
441 13396 0.09
442 53257 0.14
443 93677 0.12
444 73926 0.1
445 28482 0.08
446 47938 0.24
447 56510 0.28
448 9760 0.21
449 31756 0.02
450 78045 0.18
451 81079 0.13
452 67093 0.04
453 72448 0.46
454 77919 0.18
455 79472 0.04
456 49057 0.08
457 23148 0.22
458 6093 0.38
459 44168 0.23
460 19953 0.37
461 26475 0.28
462 20737 0.04
463 7782 0.17
464 15924 0.11
465 62217 0.18
466 39876 0.54
467 76275 0.19
468 15720 0.4
469 84066 0.27
470 87123 0.21
471 58662 0.03
472 37354 0.15
473 59943 0.21
474 26986 0.13
475 61025 0.16
476 32006 0.53
477 2108 0.29
478 83682 0.01
479 40927 0.31
480 79938 0.29
481 31709 0.39
482 70515 0.07
483 83476 0.44
484 34016 0.23
485 3753 0.07
486 48165 0.1
487 42045 0.07
488 24909 0.17
489 86207 0
490 83002 0.49
491 27778 0.21
492 89723 0.06
493 30170 0.05
494 86913 0.61
495 22494 0.02
496 87359 0.48
497 84979 0.17
498 42538 0.45
499 45601 0.08
500 36835 0.13
501 56043 0.14
502 56015 0.27
503 7416 0.17
504 1447 0.19
505 33230 0.14
506 60404 0.54
507 25844 0.14
508 94701 1.03
509 69469 0.42
510 84876 0.19
511 47550 0.37
512 15010 0.01
513 20512 0.31
514 45165 0.1
515 80470 0.19
516 48155 0.11
517 16485 0.2
518 18981 0.21
519 59095 0.22
520 88125 0.72
521 46967 0.05
522 85046 0.19
523 74602 0.21
524 27747 0.4
525 43727 0.3
526 11530 0.06
527 41149 0.11
528 77498 0.4
529 50240 0.08
530 61907 0.14
531 344 0.13
532 81434 0.33
533 69621 0.2
534 10041 0.17
535 60590 0.04
536 60278 0.05
537 65424 0.02
538 81927 0.27
539 4827 0.18
540 47462 0.03
541 56997 0.2
542 69873 0.34
543 25974 0.1
544 71564 0.1
545 574 0.13
546 6329 0.13
547 9747 0.17
548 16923 0.07
549 69858 0.3
550 44585 0.21
551 11931 0.06
552 72854 0.19
553 61976 0.63
554 2252 0.33
555 54406 0.32
556 84828 0.03
557 33114 0.28
558 34967 0.19
559 60846 0.32
560 61981 0.26
561 6940 0.08
562 30937 0.38
563 33764 0.17
564 39820 0.02
565 9047 0.31
566 93069 0.21
567 4390 0.02
568 44048 0.23
569 17562 0.13
570 42620 0.51
571 52177 0.1
572 73551 0.63
573 35434 0.1
574 28596 0.08
575 59130 0.04
576 68667 0.3
577 35864 0.54
578 83164 0.06
579 91514 0.02
580 68189 0.4
581 64893 0.15
582 52742 0.13
583 474 0.26
584 9686 0.34
585 4158 0.24
586 87240 0.02
587 194 0.07
588 2484 0.22
589 91242 0.39
590 96044 0.14
591 82988 0.09
592 32093 0.41
593 70201 0.06
594 84608 0.07
595 27848 0
596 43053 0.31
597 62611 0.28
598 45750 0.34
599 67892 0.2
600 51107 0.14
601 93980 0.1
602 71844 0.11
603 56785 0.26
604 27599 0.02
605 72761 0.08
606 18574 0.14
607 86961 0.25
608 71609 0.41
609 2493 0.32
610 89757 0.02
611 21561 0.54
612 35591 0.26
613 84592 0.27
614 46361 0.5
615 61504 0.17
616 11057 0.26
617 17008 0.31
618 44793 0.36
619 12395 0.21
620 24271 0.21
621 26414 0.21
622 54972 0.1
623 32927 0.15
624 29079 0.69
625 63064 0.04
626 28940 0.47
627 51862 0.23
628 25204 0.22
629 77176 0.25
630 87056 0.08
631 90753 0.67
632 40098 0.01
633 93507 0.2
634 96315 0.1
635 66179 0.04
636 44176 0.25
637 69418 0.06
638 3384 0.18
639 5898 0.09
640 48155 0.49
641 94683 0.02
642 60180 0.17
643 77571 0.21
644 67924 0.02
645 33210 0.26
646 35786 0.58
647 10654 0.26
648 31549 0.09
649 2061 0.29
650 7841 0.4
651 43982 0.17
652 11505 0.63
653 1751 0.01
654 17631 0.3
655 34025 0.34
656 7165 0.1
657 36056 0.04
658 98618 0.42
659 12330 0.05
660 21248 0.07
661 30439 0.16
662 59811 0.42
663 62416 0.67
664 67780 0.14
665 72490 0.26
666 70613 0.18
667 91867 0.4
668 6034 0.2
669 62837 0.34
670 29146 0.23
671 70245 0.11
672 88658 0.05
673 67236 0.21
674 31166 0.23
675 12732 0.06
676 17428 0.07
677 14163 0.01
678 73907 0.23
679 44244 0.43
680 9950 0.18
681 4767 0.12
682 96236 0.2
683 47173 0.31
684 43339 0.22
685 62902 0.03
686 12806 0.18
687 55371 0.39
688 67540 0.42
689 68112 0.23
690 91936 0.24
691 57384 0.34
692 74461 0.4
693 66540 0.04
694 95796 0.29
695 71146 0.33
696 53516 0.01
697 35939 0.27
698 3062 0.01
699 51662 0.03
700 38416 0.01
701 77932 0.39
702 33682 0.2
703 56537 0.4
704 4613 0.16
705 3448 0.12
706 45012 0.55
707 95457 0.27
708 10670 0.24
709 21499 0.41
710 92350 0.03
711 35587 0.16
712 79238 0.35
713 92996 0.22
714 78470 0.61
715 33037 0.2
716 14079 0.03
717 56106 0.13
718 9983 0.08
719 79348 0.28
720 66707 0.2
721 63483 0.65
722 46270 0.06
723 24354 0.18
724 7532 0.04
725 12276 0.05
726 71050 0.03
727 79199 0.71
728 54641 0.26
729 10033 0.06
730 16952 0.19
731 24690 0.45
732 75328 0.09
733 472 0.26
734 86953 0.04
735 39833 0.05
736 33060 0.19
737 33052 0.19
738 81869 0.09
739 20138 0.81
740 47909 0.1
741 39020 0.45
742 28351 0.11
743 88533 0.02
744 8562 0.04
745 22663 0.02
746 85167 0.51
747 11016 0.05
748 67920 0.18
749 43671 0.01
750 97071 0.24
751 9698 0.32
752 68487 0.13
753 63520 0.26
754 38403 0.15
755 60951 0.21
756 77889 0.18
757 75028 0.23
758 64219 0.04
759 4947 0.26
760 7431 0.3
761 87457 0.39
762 4243 0.25
763 12807 0.18
764 67147 0
765 94868 0.15
766 11770 0.12
767 2622 0.28
768 27527 0.38
769 19567 0.5
770 27536 0.15
771 98892 0.06
772 95220 0.49
773 1971 0.25
774 94452 0.01
775 91855 0.15
776 2398 0.25
777 14408 0.33
778 39838 0.13
779 59675 0.15
780 61475 0.14
781 90192 0.04
782 2122 0.46
783 89270 0.13
784 5699 0.11
785 58029 0.17
786 1233 0.2
787 63374 0.29
788 90206 0.27
789 16790 0.07
790 69214 0.24
791 19350 0.18
792 77263 0.18
793 98097 0.13
794 14131 0
795 40374 0.16
796 16052 0.12
797 86227 0.37
798 90737 0.06
799 63505 0.36
